,ObservationID,ObservationTime,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,STUncertain,SM,SMUncertain,SF,SFUncertain,SU,SUUncertain,SA,SAUncertain,SAM,SAMUncertain,SAF,SAFUncertain,SAFP,SAFPUncertain,SAFL,SAFLUncertain,SAFEN,SAFENUncertain,SAU,SAUUncertain,SS,SSUncertain,SSM,SSMUncertain,SSF,SSFUncertain,SSU,SSUUncertain,SJ,SJUncertain,SJM,SJMUncertain,SJF,SJFUncertain,SJU,SJUUncertain,IT,ITUncertain,IM,IMUncertain,IF,IFUncertain,IU,IUUncertain,IA,IAUncertain,IAM,IAMUncertain,IAF,IAFUncertain,IAFP,IAFPUncertain,IAFL,IAFLUncertain,IAFEN,IAFENUncertain,IAU,IAUUncertain,IS,ISUncertain,ISM,ISMUncertain,ISF,ISFUncertain,ISU,ISUUncertain,IJ,IJUncertain,IJM,IJMUncertain,IJF,IJFUncertain,IJU,IJUUncertain,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
119,cgl0805300945,2008-05-30 09:45:00,0.0,CGL,Pete Laver,Foraging,8026285.0,296102.0,0.0,foraging around kitchen,,26.0,0.0,,,,,,,12.0,0.0,,,,,,,,,,,,,13.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,13.0,1.0,4 days 00:00:00.000000000,-4.0,2008.0,5.0
120,cgl0805301005,2008-05-30 10:05:00,0.0,CGL,Pete Laver,Foraging,8026427.0,296082.0,0.0,boats,I think these 30 are in addition to the 26 seen at 0945 (troop is split).,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0 days 00:00:00.000000000,4.0,2008.0,5.0
122,csl0805301415,2008-05-30 14:15:00,0.0,CSL,Pete Laver,Foraging,8031195.0,304010.0,0.0,,,19.0,0.0,,,,,,,5.0,0.0,,,,,,,,,,,,,11.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,5.0,11.0,2.0,2 days 00:00:00.000000000,-4.0,2008.0,5.0
128,mow0805311436,2008-05-31 14:36:00,0.0,MOW,Pete Laver,Foraging,8032842.0,305498.0,0.0,water tap at guard house,initially one alarm called. Then all came up and foraged - unperturbed.  Antenna dropped and the sound scared them away.,7.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,4.0,2.0,2 days 00:00:00.000000000,3.0,2008.0,5.0
131,mow0806010820,2008-06-01 08:20:00,0.0,MOW,Pete Laver,Foraging,8032849.0,305559.0,0.0,at mowana at main gate,putative den site was in the Mowana or the culvert under Mowana's entrance road.,6.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,3.0,2.0,1 days 00:00:00.000000000,-1.0,2008.0,6.0
137,mow0806011715,2008-06-01 17:15:00,0.0,MOW,Pete Laver,Denning,8032861.0,305569.0,0.0,den at Mowana at front gate,,7.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,3.0,2.0,0 days 00:00:00.000000000,1.0,2008.0,6.0
142,csl0806020740,2008-06-02 07:40:00,0.0,CSL,Pete Laver,Denning,8030157.0,303598.0,0.0,,0759 - started to move away from den,22.0,0.0,,,,,,,4.0,0.0,,,,,,,,,,,,,15.0,0.0,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,4.0,15.0,3.0,3 days 00:00:00.000000000,3.0,2008.0,6.0
144,mow0806020943,2008-06-02 09:43:00,0.0,MOW,Pete Laver,Foraging,8032854.0,305535.0,0.0,at fence then water spicket,,7.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,4.0,2.0,1 days 00:00:00.000000000,0.0,2008.0,6.0
145,trs0806021005,2008-06-02 10:05:00,0.0,TRS,Pete Laver,Foraging,8032619.0,307441.0,0.0,,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,4 days 00:00:00.000000000,-1.0,2008.0,6.0
146,cgl0806021315,2008-06-02 13:15:00,0.0,CGL,Pete Laver,Resting,8026407.0,296073.0,0.0,around boat house,half troop foraging and half resting.,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,2.0,3 days 00:00:00.000000000,2.0,2008.0,6.0
