,ObservationID,ObservationTime,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,STUncertain,SM,SMUncertain,SF,SFUncertain,SU,SUUncertain,SA,SAUncertain,SAM,SAMUncertain,SAF,SAFUncertain,SAFP,SAFPUncertain,SAFL,SAFLUncertain,SAFEN,SAFENUncertain,SAU,SAUUncertain,SS,SSUncertain,SSM,SSMUncertain,SSF,SSFUncertain,SSU,SSUUncertain,SJ,SJUncertain,SJM,SJMUncertain,SJF,SJFUncertain,SJU,SJUUncertain,IT,ITUncertain,IM,IMUncertain,IF,IFUncertain,IU,IUUncertain,IA,IAUncertain,IAM,IAMUncertain,IAF,IAFUncertain,IAFP,IAFPUncertain,IAFL,IAFLUncertain,IAFEN,IAFENUncertain,IAU,IAUUncertain,IS,ISUncertain,ISM,ISMUncertain,ISF,ISFUncertain,ISU,ISUUncertain,IJ,IJUncertain,IJM,IJMUncertain,IJF,IJFUncertain,IJU,IJUUncertain,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
9374,sej1004091036,2010-04-09 10:36:00,0.0,SEJ,Mpho Ramotadima,Resting,8026987.0,300651.0,0.0,sedudu valley,grooming each other,21.0,0.0,,,,,21.0,0.0,13.0,0.0,,,,,,,,,,,13.0,0.0,8.0,0.0,,,,,8.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,13.0,8.0,,15 days 00:00:00.000000000,4.0,2010.0,4.0
9376,cgl1004091109,2010-04-09 11:09:00,0.0,CGL,Mpho Ramotadima,Foraging,8026044.0,296010.0,0.0,upper south road opposite lodge,,20.0,0.0,,,,,20.0,0.0,16.0,0.0,,,,,,,,,,,16.0,0.0,4.0,0.0,,,,,4.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,16.0,4.0,,1 days 00:00:00.000000000,-1.0,2010.0,4.0
9377,sef1004091313,2010-04-09 13:13:00,0.0,SEF,Cornelia Rautenbach,Moving,8032690.0,306297.0,0.0,gate of chobezi headed towards commissioner's kop,,7.0,0.0,,,,,,,4.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,3.0,,1 days 00:00:00.000000000,-1.0,2010.0,4.0
9382,sef1004121130,2010-04-12 11:30:00,0.0,SEF,Mpho Ramotadima,Resting,8032732.0,306171.0,0.0,council store,,3.0,0.0,,,,,3.0,0.0,0.0,,,,,,,,,,,,0.0,,2.0,0.0,,,,,2.0,0.0,1.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,3 days 00:00:00.000000000,-4.0,2010.0,4.0
9383,cch1004121500,2010-04-12 15:00:00,0.0,CCH,Mpho Ramotadima,Foraging,8027329.0,303798.0,0.0,main road to chobe n park,,22.0,0.0,2.0,0.0,1.0,,19.0,0.0,16.0,0.0,2.0,0.0,,,,,,,,,14.0,0.0,5.0,0.0,,,,,5.0,0.0,1.0,,,,,,0.0,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,17.0,5.0,1.0,5 days 00:00:00.000000000,-19.0,2010.0,4.0
9384,cgl1004121640,2010-04-12 16:40:00,0.0,CGL,Mpho Ramotadima,Foraging,8026328.0,296141.0,0.0,lawn area,,47.0,0.0,,,,,47.0,0.0,41.0,0.0,,,,,,,,,,,41.0,0.0,6.0,0.0,,,,,6.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,41.0,6.0,,3 days 00:00:00.000000000,27.0,2010.0,4.0
9388,cgl1004131053,2010-04-13 10:53:00,0.0,CGL,Mpho Ramotadima,Foraging,8026275.0,296719.0,0.0,sandy patch at cgl entrance,,28.0,0.0,1.0,0.0,2.0,0.0,25.0,0.0,28.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,,,,,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,,,1 days 00:00:00.000000000,-19.0,2010.0,4.0
9390,kub1004131207,2010-04-13 12:07:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031531.0,311582.0,0.0,Bush northwest of lodge,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5 days 00:00:00.000000000,-11.0,2010.0,4.0
9391,sef1004131318,2010-04-13 13:18:00,0.0,SEF,Tshimologo Njonjo,Foraging,8032572.0,306454.0,0.0,Behind supplies,15 pups  mobile  stripes visible  fully furred  about 10cm in length.,20.0,0.0,,,,,,,5.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,,15.0,1 days 00:00:00.000000000,17.0,2010.0,4.0
9392,csl1004131345,2010-04-13 13:45:00,0.0,CSL,Tshimologo Njonjo,Moving,8030916.0,304326.0,0.0,District council construction,,19.0,0.0,,,,,,,9.0,0.0,,,,,,,,,,,,,10.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,9.0,10.0,,6 days 00:00:00.000000000,12.0,2010.0,4.0
9393,kub1004131549,2010-04-13 15:49:00,0.0,KUB,Mpho Ramotadima,Foraging,8031539.0,312093.0,0.0,kubu kitchen,,21.0,0.0,2.0,0.0,1.0,0.0,18.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,,,,,,,12.0,0.0,6.0,0.0,,,,,6.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,6.0,,0 days 00:00:00.000000000,20.0,2010.0,4.0
9394,sef1004131645,2010-04-13 16:45:00,0.0,SEF,Mpho Ramotadima,Foraging,8032619.0,306428.0,0.0,south of supplies dept,,10.0,0.0,0.0,,2.0,0.0,8.0,0.0,5.0,0.0,,,2.0,0.0,,,,,,,3.0,0.0,0.0,,,,,,0.0,,5.0,0.0,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,,5.0,0 days 00:00:00.000000000,-10.0,2010.0,4.0
9398,csl1004140815,2010-04-14 08:15:00,0.0,CSL,Mpho Ramotadima,Moving,8030302.0,303637.0,0.0,chobe safari lodge,,32.0,0.0,,,,,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,1 days 00:00:00.000000000,13.0,2010.0,4.0
9400,sef1004141003,2010-04-14 10:03:00,0.0,SEF,Tshimologo Njonjo,Foraging,8032680.0,306577.0,0.0,Haskins yard  west shed,11 pups.  3/11 vocalising  8/11 sunning. Pups are 5 weeks old approx??,13.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,11.0,1 days 00:00:00.000000000,3.0,2010.0,4.0
9402,kub1004141018,2010-04-14 10:18:00,0.0,KUB,Mpho Ramotadima,Foraging,8031661.0,312363.0,0.0,kubu lodge campsite,,21.0,0.0,6.0,0.0,1.0,0.0,14.0,0.0,16.0,0.0,4.0,0.0,1.0,0.0,,,,,,,11.0,0.0,5.0,0.0,2.0,0.0,,,3.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,16.0,5.0,,1 days 00:00:00.000000000,0.0,2010.0,4.0
9403,csl1004141516,2010-04-14 15:16:00,0.0,CSL,Tshimologo Njonjo,Moving,8030893.0,304318.0,0.0,South of construction site,,9.0,0.0,,,,,,,8.0,0.0,,,,,,,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,1.0,,0 days 00:00:00.000000000,-23.0,2010.0,4.0
9404,cgl1004141630,2010-04-14 16:30:00,0.0,CGL,Mpho Ramotadima,Foraging,8026213.0,296001.0,0.0,senior officer's residence,,27.0,0.0,3.0,0.0,1.0,0.0,23.0,0.0,18.0,0.0,3.0,0.0,1.0,0.0,,,,,,,14.0,0.0,9.0,0.0,,,,,9.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,18.0,9.0,,1 days 00:00:00.000000000,-1.0,2010.0,4.0
9405,sef1004141718,2010-04-14 17:18:00,0.0,SEF,Mpho Ramotadima,Resting,8032680.0,306595.0,0.0,haskins,this if for the juveniles not the main troop.,6.0,0.0,,,,,6.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,0.0,,5.0,0.0,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,5.0,0 days 00:00:00.000000000,-7.0,2010.0,4.0
9406,cch1004141725,2010-04-14 17:25:00,0.0,CCH,Mpho Ramotadima,Resting,8027874.0,302656.0,0.0,chobe chilwero underneath the engine house,,13.0,0.0,,,,,13.0,0.0,9.0,0.0,,,,,,,,,,,9.0,0.0,4.0,0.0,,,,,4.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,9.0,4.0,,2 days 00:00:00.000000000,-10.0,2010.0,4.0
9410,cch1004151048,2010-04-15 10:48:00,0.0,CCH,Mpho Ramotadima,Foraging,8027900.0,302595.0,0.0,chobe chilwero,,22.0,0.0,2.0,0.0,0.0,,20.0,0.0,15.0,0.0,2.0,0.0,,,,,,,,,13.0,0.0,7.0,0.0,,,,,7.0,0.0,0.0,,,,,,0.0,,1.0,0.0,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,15.0,7.0,,1 days 00:00:00.000000000,10.0,2010.0,4.0
9411,kub1004151150,2010-04-15 11:50:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031055.0,313001.0,0.0,Cemetary,,17.0,0.0,,,,,,,14.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,14.0,3.0,,1 days 00:00:00.000000000,-4.0,2010.0,4.0
9412,sef1004151214,2010-04-15 12:14:00,0.0,SEF,Tshimologo Njonjo,Denning,8032658.0,306607.0,0.0,Yard north of Haskins,9 pups observed sleeping/sunning in Haskins under pallets,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,9.0,1 days 00:00:00.000000000,3.0,2010.0,4.0
9413,csl1004151306,2010-04-15 13:06:00,0.0,CSL,Tshimologo Njonjo,Moving,8030919.0,304335.0,0.0,South edge of construction,,17.0,0.0,,,,,,,11.0,0.0,,,,,,,,,,,,,6.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,11.0,6.0,,1 days 00:00:00.000000000,8.0,2010.0,4.0
9417,csl1004160701,2010-04-16 07:01:00,0.0,CSL,Pete Laver,Foraging,8030838.0,304410.0,0.0,up hill from council building site,NB - drank from grey water.,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,1 days 00:00:00.000000000,16.0,2010.0,4.0
9419,kub1004161015,2010-04-16 10:15:00,0.0,KUB,Tshimologo Njonjo,Foraging,8030988.0,313156.0,0.0,Cemetary,,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1 days 00:00:00.000000000,-16.0,2010.0,4.0
9420,sef1004161102,2010-04-16 11:02:00,0.0,SEF,Mpho Ramotadima,Resting,8032699.0,306569.0,0.0,haskins,this record for juveniles  not main troop.,4.0,0.0,,,,,4.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,0.0,,3.0,0.0,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,3.0,1 days 00:00:00.000000000,-5.0,2010.0,4.0
9421,sef1004161152,2010-04-16 11:52:00,0.0,SEF,Tshimologo Njonjo,Resting,8032601.0,306587.0,0.0,Haskins yard  west shed,7 pups  5 sunning and 2 moving and vocalising,5.0,0.0,,,,,,,5.0,0.0,,,,,,,,,,,,,-7.0,,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,-7.0,7.0,0 days 00:00:00.000000000,1.0,2010.0,4.0
9422,csl1004161514,2010-04-16 15:14:00,0.0,CSL,Tshimologo Njonjo,Moving,8030649.0,304132.0,0.0,West of construction site,,38.0,0.0,,,,,,,28.0,0.0,,,,,,,,,,,,,10.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,28.0,10.0,,0 days 00:00:00.000000000,5.0,2010.0,4.0
9423,sej1004161643,2010-04-16 16:43:00,0.0,SEJ,Mpho Ramotadima,Foraging,8027420.0,300372.0,0.0,watercart east end at capp tom bush,,16.0,0.0,,,,,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,7 days 00:00:00.000000000,-5.0,2010.0,4.0
9424,cch1004161710,2010-04-16 17:10:00,0.0,CCH,Mpho Ramotadima,Foraging,8027987.0,302623.0,0.0,chobe chilwero,,47.0,0.0,9.0,0.0,7.0,0.0,31.0,0.0,,,9.0,0.0,7.0,0.0,1.0,0.0,,,,,11.0,0.0,,,,,,,20.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,1 days 00:00:00.000000000,24.0,2010.0,4.0
9425,csl1004171130,2010-04-17 11:30:00,0.0,CSL,Trainee CSL youth,Foraging,8030217.0,303508.0,0.0,,,68.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,1 days 00:00:00.000000000,30.0,2010.0,4.0
9426,csl1004171535,2010-04-17 15:35:00,0.0,CSL,Trainee CSL youth,Foraging,8029990.0,303480.0,0.0,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,0 days 00:00:00.000000000,-59.0,2010.0,4.0
9427,csl1004171602,2010-04-17 16:02:00,0.0,CSL,Trainee CSL youth,Foraging,8029965.0,303437.0,0.0,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,0 days 00:00:00.000000000,11.0,2010.0,4.0
9428,csl1004171611,2010-04-17 16:11:00,0.0,CSL,Trainee CSL youth,Active,8030029.0,303457.0,0.0,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0 days 00:00:00.000000000,-17.0,2010.0,4.0
9429,cgl1004190910,2010-04-19 09:10:00,0.0,CGL,Mpho Ramotadima,Foraging,8026068.0,296427.0,0.0,upper road opposite CGL moving to river,,21.0,0.0,1.0,0.0,0.0,,20.0,0.0,12.0,0.0,1.0,0.0,,,1.0,0.0,,,,,11.0,0.0,9.0,0.0,,,,,9.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,12.0,9.0,,5 days 00:00:00.000000000,-6.0,2010.0,4.0
9430,kub1004190938,2010-04-19 09:38:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031627.0,312375.0,0.0,Kubu Lodge campsite,,16.0,0.0,,,,,,,13.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.0,3.0,,3 days 00:00:00.000000000,15.0,2010.0,4.0
9432,sef1004191030,2010-04-19 10:30:00,0.0,SEF,Tshimologo Njonjo,Foraging,8032678.0,306599.0,0.0,Haskins yard  west shed,1 dead pup observed,1.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3 days 00:00:00.000000000,-4.0,2010.0,4.0
9434,kub1004191604,2010-04-19 16:04:00,0.0,KUB,Mpho Ramotadima,Foraging,8031375.0,312152.0,0.0,kubu entrance gate moving to the east,,21.0,0.0,2.0,0.0,0.0,,19.0,0.0,15.0,0.0,2.0,0.0,,,,,,,,,13.0,0.0,6.0,0.0,,,,,6.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,6.0,,0 days 00:00:00.000000000,5.0,2010.0,4.0
9435,kub1004200854,2010-04-20 08:54:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031344.0,312286.0,0.0,Kubu Rd. across from culvert den,,18.0,0.0,,,,,,,16.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,16.0,2.0,,1 days 00:00:00.000000000,-3.0,2010.0,4.0
9436,sef1004201009,2010-04-20 10:09:00,0.0,SEF,Tshimologo Njonjo,Moving,8032714.0,306605.0,0.0,Haskins yard  west shed,,6.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,4.0,,1 days 00:00:00.000000000,5.0,2010.0,4.0
9437,sef1004201032,2010-04-20 10:32:00,0.0,SEF,Mpho Ramotadima,Moving,8032700.0,306608.0,0.0,haskins,,6.0,0.0,,,,,6.0,0.0,3.0,0.0,,,,,,,,,,,3.0,0.0,3.0,0.0,,,,,3.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,3.0,,0 days 00:00:00.000000000,0.0,2010.0,4.0
9439,csl1004201410,2010-04-20 14:10:00,0.0,CSL,Tshimologo Njonjo,Moving,8030649.0,304133.0,0.0,Hill west of construction,,28.0,0.0,,,,,,,23.0,0.0,,,,,,,,,,,,,5.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,23.0,5.0,,3 days 00:00:00.000000000,25.0,2010.0,4.0
9440,hip1004201515,2010-04-20 15:15:00,0.0,HIP,Mpho Ramotadima,Foraging,8027072.0,299644.0,0.0,upper road to game lodge,,16.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,13.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,10.0,0.0,3.0,0.0,,,,,3.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.0,3.0,,21 days 00:00:00.000000000,4.0,2010.0,4.0
9441,cgl1004201620,2010-04-20 16:20:00,0.0,CGL,Mpho Ramotadima,Foraging,8025881.0,296577.0,0.0,southwest of cgl,,54.0,0.0,,,,,54.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,1 days 00:00:00.000000000,34.0,2010.0,4.0
9442,cch1004201704,2010-04-20 17:04:00,0.0,CCH,Mpho Ramotadima,Resting,8027906.0,302648.0,0.0,chobe chilwero,,21.0,0.0,3.0,0.0,3.0,0.0,15.0,0.0,15.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,,,,,9.0,0.0,8.0,0.0,,,,,8.0,0.0,-2.0,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,8.0,-2.0,4 days 00:00:00.000000000,-26.0,2010.0,4.0
9444,kub1004210917,2010-04-21 09:17:00,0.0,KUB,Tshimologo Njonjo,Moving,8031237.0,312117.0,0.0,South bush in Kubu Lodge,,29.0,0.0,,,,,,,21.0,0.0,,,,,,,,,,,,,8.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,21.0,8.0,,1 days 00:00:00.000000000,11.0,2010.0,4.0
9445,cgl1004211002,2010-04-21 10:02:00,0.0,CGL,Mpho Ramotadima,Moving,8026264.0,296461.0,0.0,after private rd sign  crossing to south,NB - calling for the troop - looked lost.,2.0,0.0,,,,,2.0,0.0,2.0,0.0,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1 days 00:00:00.000000000,-53.0,2010.0,4.0
9447,csl1004211545,2010-04-21 15:45:00,0.0,CSL,Tshimologo Njonjo,Foraging,8030567.0,303645.0,0.0,Dept. of Forestry garden,,33.0,0.0,,,,,,,23.0,0.0,,,,,,,,,,,,,3.0,0.0,,,,,,,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,23.0,3.0,7.0,1 days 00:00:00.000000000,5.0,2010.0,4.0
9449,csl1004211642,2010-04-21 16:42:00,0.0,CSL,Tshimologo Njonjo,Foraging,8030284.0,303571.0,0.0,Trash site at CSL,,28.0,0.0,,,,,,,23.0,0.0,,,,,,,,,,,,,5.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,23.0,5.0,,0 days 00:00:00.000000000,-5.0,2010.0,4.0
9450,csl1004220735,2010-04-22 07:35:00,0.0,CSL,Tshimologo Njonjo,Foraging,8029911.0,303431.0,0.0,South of CSL campsite,,4.0,0.0,,,,,,,3.0,0.0,,,,,,,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,1 days 00:00:00.000000000,-24.0,2010.0,4.0
9451,kub1004220922,2010-04-22 09:22:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031672.0,312638.0,0.0,Bush south of BDF camp,,24.0,0.0,,,,,,,19.0,0.0,,,,,,,,,,,,,5.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,19.0,5.0,,1 days 00:00:00.000000000,-5.0,2010.0,4.0
9452,kub1004221013,2010-04-22 10:13:00,0.0,KUB,Mpho Ramotadima,Foraging,8031621.0,312411.0,0.0,crocodile farm  seen by Njonjo,seen by njonjo 20 minutes back,24.0,0.0,,,,,24.0,0.0,17.0,0.0,,,,,,,,,,,17.0,0.0,7.0,0.0,,,,,7.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,17.0,7.0,,0 days 00:00:00.000000000,0.0,2010.0,4.0
9454,sef1004221042,2010-04-22 10:42:00,0.0,SEF,Tshimologo Njonjo,Moving,8032727.0,306593.0,0.0,Yard east of Haskins,,4.0,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,2.0,2 days 00:00:00.000000000,-2.0,2010.0,4.0
9455,cgl1004221535,2010-04-22 15:35:00,0.0,CGL,Mpho Ramotadima,Foraging,8026320.0,296106.0,0.0,,,40.0,0.0,4.0,0.0,3.0,0.0,33.0,0.0,27.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,,,,,20.0,0.0,13.0,0.0,,,,,13.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,27.0,13.0,,1 days 00:00:00.000000000,38.0,2010.0,4.0
9456,cch1004221646,2010-04-22 16:46:00,0.0,CCH,Mpho Ramotadima,Forage/Rest,8027891.0,302672.0,0.0,chilwero lodge,,27.0,0.0,3.0,0.0,5.0,0.0,19.0,0.0,14.0,0.0,3.0,0.0,5.0,0.0,,,,,,,6.0,0.0,13.0,0.0,,,,,13.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,14.0,13.0,,2 days 00:00:00.000000000,6.0,2010.0,4.0
9458,kub1004230922,2010-04-23 09:22:00,0.0,KUB,Tshimologo Njonjo,Foraging,8031133.0,312454.0,0.0,Bush east of cemetary,,18.0,0.0,,,,,,,14.0,0.0,,,,,,,,,,,,,4.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,14.0,4.0,,1 days 00:00:00.000000000,-6.0,2010.0,4.0
9459,cgl1004230930,2010-04-23 09:30:00,0.0,CGL,Mpho Ramotadima,Foraging,8026121.0,295720.0,0.0,upper cgl road,all moved next to the car  none called.,51.0,0.0,4.0,0.0,2.0,0.0,45.0,0.0,31.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,,,,,25.0,0.0,20.0,0.0,,,,,20.0,0.0,0.0,,,,,,0.0,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,31.0,20.0,,1 days 00:00:00.000000000,12.0,2010.0,4.0
9460,sef1004231015,2010-04-23 10:15:00,0.0,SEF,Tshimologo Njonjo,Foraging,8032560.0,306541.0,0.0,Hill behind Haskins,,7.0,0.0,,,,,,,5.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,,2.0,1 days 00:00:00.000000000,3.0,2010.0,4.0
9461,csl1004231105,2010-04-23 11:05:00,0.0,CSL,Tshimologo Njonjo,Foraging,8029911.0,303431.0,0.0,South of CSL campsite,,10.0,0.0,,,,,,,9.0,0.0,,,,,,,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,1.0,,1 days 00:00:00.000000000,6.0,2010.0,4.0
